bulletin_date,municipality,probable_cases,probable_cases_percent
2020-11-12,Cabo Rojo,8,1.5
2020-11-12,Caguas,62,12.0
2020-11-12,Camuy,1,0.2
2020-11-12,Canóvanas,4,0.8
2020-11-12,Carolina,38,7.3
2020-11-12,Cataño,12,2.3
2020-11-12,Cayey,3,0.6
2020-11-12,Ceiba,0,0.0
2020-11-12,Ciales,0,0.0
2020-11-12,Cidra,2,0.4
2020-11-12,Coamo,10,1.9
2020-11-12,Comerío,0,0.0
2020-11-12,Corozal,1,0.2
2020-11-12,Culebra,0,0.0
2020-11-12,Dorado,1,0.2
2020-11-12,Fajardo,5,1.0
2020-11-12,Florida,0,0.0
2020-11-12,Guánica,0,0.0
2020-11-12,Guayama,5,1.0
2020-11-12,Guayanilla,4,0.8
2020-11-12,Guaynabo,23,4.4
2020-11-12,Gurabo,16,3.1
2020-11-12,Hatillo,2,0.4
2020-11-12,Hormigueros,8,1.5
2020-11-12,Humacao,6,1.2
2020-11-12,Isabela,23,4.4
2020-11-12,Jayuya,0,0.0
2020-11-12,Juana Díaz,4,0.8
2020-11-12,Juncos,20,3.9
2020-11-12,Lajas,0,0.0
2020-11-12,Lares,0,0.0
2020-11-12,Las Marías,2,0.4
2020-11-12,Las Piedras,3,0.6
2020-11-12,Loíza,14,2.7
2020-11-12,Luquillo,0,0.0
2020-11-12,Manatí,0,0.0
2020-11-12,Maricao,0,0.0
2020-11-12,Maunabo,0,0.0
2020-11-12,Mayagüez,5,1.0
2020-11-12,Moca,4,0.8
2020-11-12,Morovis,2,0.4
2020-11-12,Naguabo,7,1.4
2020-11-12,Naranjito,0,0.0
2020-11-12,Orocovis,1,0.2
2020-11-12,Patillas,1,0.2
2020-11-12,Peñuelas,1,0.2
2020-11-12,Ponce,4,0.8
2020-11-12,Quebradillas,11,2.1
2020-11-12,Rincón,0,0.0
2020-11-12,Río Grande,3,0.6
2020-11-12,Sabana Grande,2,0.4
2020-11-12,Salinas,2,0.4
2020-11-12,San Germán,1,0.2
2020-11-12,San Juan,64,12.4
2020-11-12,San Lorenzo,3,0.6
2020-11-12,San Sebastián,1,0.2
2020-11-12,Santa Isabel,1,0.2
2020-11-12,Toa Alta,5,1.0
2020-11-12,Toa Baja,21,4.1
2020-11-12,Trujillo Alto,10,1.9
2020-11-12,Utuado,0,0.0
2020-11-12,Vega Alta,3,0.6
2020-11-12,Vega Baja,2,0.4
2020-11-12,Vieques,0,0.0
2020-11-12,Villalba,12,2.3
2020-11-12,Yabucoa,1,0.2
2020-11-12,Yauco,2,0.4
2020-11-12,Otro lugar fuera de PR,1,
2020-11-12,No disponible,26,
2020-11-12,Total,545,
2020-11-13,Adjuntas,0,0.0
2020-11-13,Aguada,1,0.2
2020-11-13,Aguadilla,3,0.5
2020-11-13,Aguas Buenas,4,0.7
2020-11-13,Aibonito,3,0.5
2020-11-13,Añasco,10,1.8
2020-11-13,Arecibo,3,0.5
2020-11-13,Arroyo,1,0.2
2020-11-13,Barceloneta,2,0.4
2020-11-13,Barranquitas,1,0.2
2020-11-13,Bayamón,50,8.8
2020-11-13,Cabo Rojo,9,1.6
2020-11-13,Caguas,60,10.5
2020-11-13,Camuy,1,0.2
2020-11-13,Canóvanas,4,0.7
2020-11-13,Carolina,48,8.4
2020-11-13,Cataño,12,2.1
2020-11-13,Cayey,4,0.7
2020-11-13,Ceiba,0,0.0
2020-11-13,Ciales,0,0.0
2020-11-13,Cidra,2,0.4
2020-11-13,Coamo,11,1.9
2020-11-13,Comerío,0,0.0
2020-11-13,Corozal,1,0.2
2020-11-13,Culebra,0,0.0
2020-11-13,Dorado,1,0.2
2020-11-13,Fajardo,4,0.7
2020-11-13,Florida,1,0.2
2020-11-13,Guánica,0,0.0
2020-11-13,Guayama,5,0.9
2020-11-13,Guayanilla,4,0.7
2020-11-13,Guaynabo,23,4.0
2020-11-13,Gurabo,16,2.8
2020-11-13,Hatillo,2,0.4
2020-11-13,Hormigueros,8,1.4
2020-11-13,Humacao,14,2.5
2020-11-13,Isabela,23,4.0
2020-11-13,Jayuya,0,0.0
2020-11-13,Juana Díaz,4,0.7
2020-11-13,Juncos,27,4.7
2020-11-13,Lajas,0,0.0
2020-11-13,Lares,0,0.0
2020-11-13,Las Marías,2,0.4
2020-11-13,Las Piedras,12,2.1
2020-11-13,Loíza,14,2.5
2020-11-13,Luquillo,0,0.0
2020-11-13,Manatí,0,0.0
2020-11-13,Maricao,0,0.0
2020-11-13,Maunabo,0,0.0
2020-11-13,Mayagüez,4,0.7
2020-11-13,Moca,4,0.7
2020-11-13,Morovis,3,0.5
2020-11-13,Naguabo,9,1.6
2020-11-13,Naranjito,0,0.0
2020-11-13,Orocovis,1,0.2
2020-11-13,Patillas,1,0.2
2020-11-13,Peñuelas,2,0.4
2020-11-13,Ponce,4,0.7
2020-11-13,Quebradillas,10,1.8
2020-11-13,Rincón,0,0.0
2020-11-13,Río Grande,5,0.9
2020-11-13,Sabana Grande,2,0.4
2020-11-13,Salinas,2,0.4
2020-11-13,San Germán,1,0.2
2020-11-13,San Juan,70,12.3
2020-11-13,San Lorenzo,4,0.7
2020-11-13,San Sebastián,1,0.2
2020-11-13,Santa Isabel,3,0.5
2020-11-13,Toa Alta,5,0.9
2020-11-13,Toa Baja,20,3.5
2020-11-13,Trujillo Alto,10,1.8
2020-11-13,Utuado,0,0.0
2020-11-13,Vega Alta,3,0.5
2020-11-13,Vega Baja,3,0.5
2020-11-13,Vieques,0,0.0
2020-11-13,Villalba,11,1.9
2020-11-13,Yabucoa,1,0.2
2020-11-13,Yauco,2,0.4
2020-11-13,Otro lugar fuera de PR,1,
2020-11-13,No disponible,26,
2020-11-13,Total,598,
2020-11-14,Adjuntas,0,0
2020-11-14,Aguada,1,0.2
2020-11-14,Aguadilla,3,0.5
2020-11-14,Aguas Buenas,5,0.8
2020-11-14,Aibonito,3,0.5
2020-11-14,Añasco,9,1.4
2020-11-14,Arecibo,6,0.9
2020-11-14,Arroyo,1,0.2
2020-11-14,Barceloneta,3,0.5
2020-11-14,Barranquitas,1,0.2
2020-11-14,Bayamón,62,9.6
2020-11-14,Cabo Rojo,10,1.5
2020-11-14,Caguas,59,9.1
2020-11-14,Camuy,1,0.2
2020-11-14,Canóvanas,4,0.6
2020-11-14,Carolina,51,7.9
2020-11-14,Cataño,13,2
2020-11-14,Cayey,4,0.6
2020-11-14,Ceiba,0,0
2020-11-14,Ciales,1,0.2
2020-11-14,Cidra,2,0.3
2020-11-14,Coamo,11,1.7
2020-11-14,Comerío,0,0
2020-11-14,Corozal,1,0.2
2020-11-14,Culebra,0,0
2020-11-14,Dorado,1,0.2
2020-11-14,Fajardo,4,0.6
2020-11-14,Florida,1,0.2
2020-11-14,Guánica,0,0
2020-11-14,Guayama,5,0.8
2020-11-14,Guayanilla,4,0.6
2020-11-14,Guaynabo,24,3.7
2020-11-14,Gurabo,16,2.5
2020-11-14,Hatillo,2,0.3
2020-11-14,Hormigueros,8,1.2
2020-11-14,Humacao,14,2.2
2020-11-14,Isabela,26,4
2020-11-14,Jayuya,1,0.2
2020-11-14,Juana Díaz,4,0.6
2020-11-14,Juncos,27,4.2
2020-11-14,Lajas,0,0
2020-11-14,Lares,0,0
2020-11-14,Las Marías,2,0.3
2020-11-14,Las Piedras,10,1.5
2020-11-14,Loíza,13,2
2020-11-14,Luquillo,0,0
2020-11-14,Manatí,5,0.8
2020-11-14,Maricao,0,0
2020-11-14,Maunabo,0,0
2020-11-14,Mayagüez,4,0.6
2020-11-14,Moca,15,2.3
2020-11-14,Morovis,3,0.5
2020-11-14,Naguabo,9,1.4
2020-11-14,Naranjito,1,0.2
2020-11-14,Orocovis,1,0.2
2020-11-14,Patillas,1,0.2
2020-11-14,Peñuelas,2,0.3
2020-11-14,Ponce,4,0.6
2020-11-14,Quebradillas,10,1.5
2020-11-14,Rincón,0,0
2020-11-14,Río Grande,5,0.8
2020-11-14,Sabana Grande,2,0.3
2020-11-14,Salinas,2,0.3
2020-11-14,San Germán,1,0.2
2020-11-14,San Juan,78,12.1
2020-11-14,San Lorenzo,4,0.6
2020-11-14,San Sebastián,4,0.6
2020-11-14,Santa Isabel,4,0.6
2020-11-14,Toa Alta,7,1.1
2020-11-14,Toa Baja,33,5.1
2020-11-14,Trujillo Alto,11,1.7
