bulletin_date,age_range,female,female_pct,male,male_pct,cases,cases_pct
2020-06-06,20-29,102,15.3,92,13.3,194,14.2
2020-06-06,30-39,110,16.5,112,16.1,222,16.3
2020-06-06,40-49,112,16.8,136,19.6,248,18.2
2020-06-06,50-59,143,21.4,136,19.6,279,20.5
2020-06-06,60-69,94,14.1,89,12.8,183,13.4
2020-06-06,70-79,34,5.1,57,8.2,91,6.7
2020-06-06,≥ 80,23,3.4,25,3.6,48,3.5
2020-06-06,No disponible,1,,1,,2,
2020-06-06,Total,669,100.0,695,100.0,1364,100.0
2020-06-07,< 10,15,2.2,14,2.0,29,2.1
2020-06-07,10-19,35,5.2,34,4.9,69,5.0
2020-06-07,20-29,104,15.5,93,13.3,197,14.4
2020-06-07,30-39,110,16.4,112,16.0,222,16.2
2020-06-07,40-49,112,16.7,137,19.6,249,18.2
2020-06-07,50-59,144,21.4,137,19.6,281,20.5
2020-06-07,60-69,95,14.1,90,12.9,185,13.5
2020-06-07,70-79,34,5.1,57,8.2,91,6.6
2020-06-07,≥ 80,23,3.4,25,3.6,48,3.5
